mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile1,ImageFile2,MatchSimilar,SequenceNumber,participant,source,date,expName,psychopyVersion,OS,frameRate
0.465560626,-0.262192079,1,0,0,1.180685,number10,0,10,10,10,1,IMS/01-VaricorbulaGibba-02.jpg,SimilarSameGenus/01-03-VaricorbulaOperculata.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.191050695,-0.268225262,1,0,0,1.993975,number5,0,11,11,11,1,IMS/10-MyaJaponica-02.jpg,SimilarSameOrder/10-01-CrytopleuraCoastata.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.278531905,-0.262192079,1,0,0,2.20841,number5,0,12,12,12,1,IMS/15-PernaViridis-03.jpg,SimilarSameFamily/15-01-BrachidontesRostratus.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.232277505,-0.255153366,1,0,0,1.759275,number5,0,13,13,13,1,IMS/06-CrepidulaFornicata-02.jpg,SimilarSameFamily/06-01-CrepipatellaDorsata.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.469582748,-0.269230792,1,0,0,1.26049,number10,0,14,14,14,1,IMS/01-VaricorbulaGibba-03.jpg,SimilarSameOrder/01-01-BarneaTruncata.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.351935685,-0.253142305,1,0,0,1.942365,number9,0,15,15,15,1,IMS/08-HemigrapsusSanguineus-04.jpg,Match/08-HemigrapsusSanguineus-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.374057355,-0.256158896,1,0,0,2.04245,number9,0,16,16,16,1,IMS/05-CodiumFragile-04.jpg,Match/05-CodiumFragile-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.658622414,-0.254147835,1,0,0,1.68032,number1,0,17,17,17,1,IMS/07-EuchoneLimnicola-04.jpg,SimilarSameOrder/07-02-SpirobranchusGigenteus.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.664655597,-0.232026166,1,0,0,3.579795,number1,0,18,18,18,1,IMS/12-PatiriellaRegularis-03.jpg,SimilarSameGenus/12-03-PatiriellaMortenseni.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.313725528,-0.263197609,1,0,0,1.392585,number9,0,19,19,19,1,IMS/14-PernaPerna-02.jpg,Match/14-PernaPerna-07.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
